Song 1: Title,Song 1: Genre
sing sing sing,Classic
the imperial march,Classic
7 summers,Country
blue aint your color,Country
Coal,Country
Corraling the blues,Country
Cowpoke,Country
Dawns (ft Maggie Rogers),Country
Johnny Boy's Bones,Country
life is a highway ,Country
Love Story,Country
Nose on the grind stone,Country
Pickup Man,Country
sleeping on the blacktop,Country
Tennessee orange ,Country
Why johnny,Country
wild as her,Country
Windows,Country
you make it easy,Country
A Sky Full of Stars,Pop
All the stars ,Pop
baby shark ,Pop
bad guy,Pop
bad habit,Pop
Banana Pancakes,Pop
Beautiful Things,Pop
Beauty and A Beat,Pop
better together ,Pop
Clarity,Pop
False God,Pop
Forever Young,Pop
golden hour,Pop
Good Girls (Dont Get Used),Pop
Hot Wings (I wanna party),Pop
I Can See You,Pop
insane,Pop
It Will Rain,Pop
Lush Life ,Pop
Maneater ,Pop
Murder on The Dance Floor,Pop
No Fear,Pop
Pompeii,Pop
popular,Pop
radio,Pop
Replay,Pop
Rocketeer,Pop
run this town ,Pop
Saturn (Live),Pop
Say My Name,Pop
shake it off,Pop
Since you been gone,Pop
smooth operator,Pop
Snooze ,Pop
Somewhere in Brooklyn,Pop
Sue Me,Pop
the hills,Pop
The One That Got Away,Pop
Too Sweet,Pop
Turn down for what (Alvin ans the chipmunks),Pop
UNTOUCHABLE,Pop
Unwritten ,Pop
uptown funk,Pop
Valerie,Pop
I want you back,R&B
Love ,R&B
Love on the brain,R&B
Saturn ,R&B
September,R&B
Thinkin bout you ,R&B
wiseman,R&B
20 minutes,Rap
Alright,Rap
ASTROTHUNDER,Rap
barbarah rhabarberbar,Rap
goosebumos,Rap
I Wonder,Rap
My Eyes,Rap
Nightcrawler,Rap
Power Trip,Rap
Skeletons,Rap
wip it,Rap
Angry,Rock
chalk dust torture,Rock
hayloft,Rock
hidden in the sand,Rock
Linger,Rock
money for nothing ,Rock
Rag Doll,Rock
Rich Girl,Rock
say it aint so,Rock
Some Like it Hot,Rock
The Will of the People,Rock
Y.M.C.A.,Rock