Barefoot Blue Jean Night,Country
Chicken Fried,Country
Dirt Road Anthem,Country
Fishin in the dark,Country
man made a bar,Country
Nine Ball,Country
One Thing At A Time,Country
she had me at heads carolina,Country
All The Stars,Hip Hop
bust a move,Hip Hop
Feel Good Inc.,Hip Hop
future is mine,Hip Hop
I Wonder,Hip Hop
Keep Ya Head Up,Hip Hop
Locked Out of Heaven ,Hip Hop
Me and Your Mama,Hip Hop
Ryd,Hip Hop
Sunflower,Hip Hop
Telekinesis,Hip Hop
The Effects Of Climate Change On Densley Populated Areas,Hip Hop
Tumblr Girls ,Hip Hop
vera lee ,Hip Hop
24K,Pop
A thousand Miles,Pop
As It Was,Pop
call me maybe,Pop
Classic,Pop
colors of the wind,Pop
Come together ,Pop
Count on Me,Pop
Dance Monkey,Pop
Gold rush kid,Pop
Happier ,Pop
I Can See You ,Pop
I wanna dance with somebody ,Pop
"let it grow- from ""Dr. Seuss' the Lorax",Pop
My way,Pop
Out of Time,Pop
part of the maddness,Pop
Party in the U.S.A,Pop
Pearls,Pop
Pyramids,Pop
Rather Be,Pop
Seasons,Pop
Someone saved my life tonight ,Pop
Umbrella ,Pop
Viva la vida,Pop
west coast,Pop
YMCA,Pop
505,R&B
Come Back To Earth,R&B
Ex-Factor,R&B
Get You ,R&B
Love ,R&B
Put On A Smile,R&B
Saturn ,R&B
Thinkin Bout You ,R&B
Amber,Reggae
Babylon by Bus,Reggae
Babylon System ,Reggae
could you be loved,Reggae
Dreamland,Reggae
Kingston Town,Reggae
Selassie Souljahz,Reggae
The Voices Of Sweet jamaica,Reggae
Three Little Birds,Reggae
Untold Stories,Reggae
Zimbabwe,Reggae
asylum,Rock
Bohemian rhapsody,Rock
Boys dont cry single version,Rock
Buddy Holly,Rock
capital g ,Rock
caught up in you,Rock
chop suey,Rock
Counting stars,Rock
Demons,Rock
Eye Of a Tiger,Rock
hotel california,Rock
I dont Owe You Anything ,Rock
I'm born to run,Rock
Metaphor,Rock
Mr bright side,Rock
Passin Me By,Rock
Please Please Please Let Me Get What I want,Rock
Silver Springs ,Rock
Stairway To Heaven,Rock
The Symphony Of Destruction,Rock
Dont stop me now ,Rock 
Youngest daughter ,Rock 