,,GOD IS GOOD,country
,,White Girl,country
,,the man comes around ,country
,,what this world needs is a few rednecks ,country
,,im a rambling man ,country
,,the highway men ,country
,,Yeah!,Hip-Hop
,,Happy,Hip-Hop
,,Im Still Standing,Hip-Hop
,,Best day of my life,Hip-Hop
,,count on me,Hip-Hop
,,Carnival (Clean version),Hip-Hop
,,Hell N Back,Hip-Hop
,,roar,Hip-Hop
,,dawning,Hip-Hop
,,Meet The Grahams,Hip-Hop
,,Snooze,Hip-Hop
,,good feelings,Hip-Hop
,,If We Being Real,Hip-Hop
,,drive ME crazy!      (clean version),Hip-Hop
,,The Real Slim Shady,Hip-Hop
,,Without Me,Hip-Hop
,,Fein ,Hip-Hop
,,family ties ,Hip-Hop
,,ghost town ,Hip-Hop
,,Could you be loved,Hip-Hop
,,Misty,jazz
,,Iguana ,jazz
,,Erika,jazz
,,Truth or Dare,pop
,,Glimpse of Us,pop
,,Pompeii,pop
,,work song ,pop
,,Babydoll,pop
,,Skibidi (Skibidi Toilet,pop
,,Art Deco,pop
,,Unwritten,pop
,,Strings and Attractors ,pop
,,Mercury ,pop
,,Banana man,pop
,,Crying Lightning,pop
,,ill be there,pop
,,Classic,pop
,,SOS,pop
,,Lovers rock,pop
,,counting stars,pop
,,Anna Sun,pop
,,Last Friday Night,pop
,,Million Dollar Baby,pop
,,a sky full of stars,pop
,,Marry You,pop
,,Pato and Roger a go talk,pop
,,Toxic,pop
,,AOK,pop
,,Out of Touch,pop
,,pretty shining people,pop
,,Shut up and Dance,pop
,,Angel With a Shotgun,pop
,,titanium,pop
,,Wannabe,pop
,,Geronimo,pop
,,Wake me up,pop
,,Everybody Wants to Rule the World,pop
,,Pink+White,pop
,,Lalala,pop
,,Im a believer,pop
,,Normal Girl,R&B
,,For Certain,R&B
,,Problem,R&B
,,Love,R&B
,,could've been (feat. Bryson Tiller),R&B
,,Hey Daddy,R&B
,,Pocketful Of Sunshine,R&B
,,Say My Name,R&B
,,Waterfalls,R&B
,,Nobody move nobody get hurt,R&B
,,Hey ya!,R&B
,,One Step Closer,rock
,,When you sleep,rock
,,Fake Plastic Trees,rock
,,Dagger,rock
,,Buddy Holly,rock
,,Control,rock
,,Atone,rock
,,Brother,rock
,,November Rain,rock
,,Dont stop believin,rock
,,Please,rock
,,seasons,rock
,,Decadence,rock
,,"for the workforce, drowning",rock
,,Comfortably Numb,rock
,,Laughing in the Sugar Bowl,rock
,,Rocket Queen,rock
,,upside down,rock
,,Summer of '69,rock
,,No more Tears,rock
,,Blow Me Away,rock
,,Sunglasses at Night,rock
,,Enter Sandman,rock
,,Harlem,rock
,,Pour some Sugar On Me,rock
,,I Want to be Cold,rock
,,(I just) Died in your Arms Tonight,rock
,,look after you ,rock
,,Rhiannon ,rock
,,Burning love ,rock